"candidate_number","coalition_proportional","alliance_proportional"
242,28.97872,26.80952
243,38.91429,37.53333
244,21.28125,17.06061
245,31.67442,31.27778
246,23.48276,20.10714
247,23.89474,20.85185
248,21.96774,18.16129
249,36.81081,35.1875
250,29.6087,28.15
251,18.40541,13.09302
252,27.79592,25.59091
253,227,187.66667
254,18.16,12.79545
255,20.95385,16.55882
256,43.93548,43.30769
257,20.02941,15.21622
258,27.24,24.47826
259,22.32787,18.76667
260,20.63636,16.08571
261,18.91667,13.73171
262,151.33333,140.75
263,18.65753,13.40476
264,85.125,80.42857
265,75.66667,70.375
266,64.85714,62.55556
267,26.19231,23.45833
268,41.27273,40.21429
269,21.61905,17.59375
270,30.95455,29.63158
271,59.21739,56.3
272,681,484
273,194.57143,161.33333
274,136.2,121
275,33.21951,32.26667
276,45.4,44
277,56.75,53.77778
278,42.5625,40.33333
279,37.83333,37.23077
280,90.8,80.66667
281,50.44444,48.4
282,104.76923,96.8
283,34.92308,34.57143
284,61.90909,60.5
285,272.4,242
286,71.68421,69.14286
287,80.11765,78.75
288,26.70588,24.23077
289,24.32143,21
290,32.42857,31.5
291,25.22222,22.5
292,23.08475,19.6875
293,113.5,105
294,454,315
295,35.84211,35
296,170.25,157.5
297,30.26667,28.63636
298,54.48,52.5
299,40.05882,39.375
300,68.1,63
301,28.375,26.25
302,46.96552,45
303,25,25
304,16.66667,16.66667
305,50,50
306,39.72549,39.24
307,28.94286,28.85294
308,337.66667,327
309,31.65625,31.64516
310,17.61739,17.51786
311,1013,981
312,506.5,490.5
313,30.69697,30.65625
314,24.11905,23.92683
315,49.41463,49.05
316,17.16949,16.91379
317,17.31624,17.21053
318,18.25225,18.16667
319,253.25,245.25
320,25.97436,25.81579
321,26.65789,26.51351
322,43.10638,42.65217
323,67.53333,65.4
324,17.9292,17.83636
325,19.6699,19.62
326,20.05941,20.02041
327,18.93458,18.86538
328,24.70732,24.525
329,35.54386,35.03571
330,51.94872,51.63158
331,25.325,25.15385
332,36.83636,36.33333
333,23.02273,22.81395
334,22.51111,22.29545
335,101.3,98.1
336,18.58716,18.50943
337,202.6,196.2
338,20.46465,20.4375
339,126.625,122.625
340,168.83333,163.5
341,84.41667,81.75
342,34.33898,33.82759
343,20.8866,20.87234
344,72.35714,70.07143
345,19.29524,19.23529
346,21.32632,21.32609
347,77.92308,75.46154
348,61.39394,61.3125
349,29.79412,29.72727
350,22.02174,21.8
351,17.02521,16.62712
352,23.55814,23.35714
353,33.21311,32.7
354,38.22642,37.73077
355,16.88333,16.35
356,45.02222,44.59091
357,47.11628,46.71429
358,28.13889,28.02857
359,54.75676,54.5
360,92.09091,89.18182
361,27.37838,27.25
362,57.88571,57.70588
363,112.55556,109
364,41.34694,40.875
365,144.71429,140.14286
366,75.03704,74.64286
367,119.17647,116.11111
368,29.36232,29.02778
369,53.31579,52.25
370,405.2,348.33333
371,155.84615,149.28571
372,18.41818,18.33333
373,26.31169,26.125
374,135.06667,130.625
375,184.18182,174.16667
376,44.04348,43.54167
377,17.77193,17.71186
378,19.48077,19.35185
379,56.27778,55
380,675.33333,522.5
381,38.96154,38.7037
382,225.11111,209
383,42.20833,41.8
384,19.86275,19.71698
385,21.10417,20.9
386,23.28736,23.22222
387,40.52,40.19231
388,96.47619,95
389,20.26,20.09615
390,65.35484,65.3125
391,36.17857,36.03448
392,88.08696,87.08333
393,106.63158,104.5
394,59.58824,58.05556
395,22.26374,22.23404
396,37.51852,37.32143
397,24.40964,24.30233
398,33.76667,33.70968
399,18.08929,18.01724
400,63.3125,61.47059
401,48.2381,47.5
402,25.64557,25.4878
403,25.01235,24.88095
404,28.53521,28.24324
405,50.65,49.7619
406,46.04545,45.43478
407,289.42857,261.25
408,21.55319,21.32653
409,23.83529,23.75
410,21.78495,21.77083
411,32.15873,31.66667
412,20.67347,20.4902
413,31.16923,30.73529
414,17.46552,17.41667
415,27.75342,27.5
416,69.86207,69.66667
417,19.11321,19
418,81.04,80.38462
419,2026,1045
420,27.01333,26.79487
421,30.23881,29.85714
422,18.75926,18.66071
423,34.93103,34.83333
424,32.67742,32.65625
425,22.76404,22.71739
426,58.02857,53.28571
427,39.82353,37.3
428,10.00493,9.81579
429,8.42739,8.28889
430,44.15217,41.44444
431,6.90816,6.78182
432,119.47059,93.25
433,2031,373
434,21.37895,20.72222
435,7.41241,7.31373
436,14.71739,14.34615
437,16.64754,16.21739
438,9.49065,9.325
439,36.26786,33.90909
440,6.40694,6.21667
441,10.86096,10.65714
442,6.79264,6.66071
443,15.99213,15.54167
444,20.51515,19.63158
445,30.31343,28.69231
446,6.50962,6.32203
447,10.57813,10.36111
448,7.02768,6.90741
449,10.30964,10.08108
450,15.27068,14.92
451,6.68092,6.54386
452,7.12632,7.03774
453,12.23494,12.03226
454,27.82192,26.64286
455,7.25357,7.17308
456,13.63087,13.32143
457,84.625,74.6
458,7.90272,7.77083
459,14.10417,13.81481
460,9.02667,8.88095
461,18.2973,17.7619
462,11.94706,11.65625
463,8.18952,8.1087
464,8.75431,8.67442
465,7.69318,7.61224
466,9.23182,9.09756
467,7.55019,7.46
468,52.07692,46.625
469,17.50862,16.95455
470,22.82022,21.94118
471,25.70886,24.86667
472,13.27451,12.86207
473,11.22099,10.97059
474,11.53977,11.30303
475,253.875,186.5
476,24.76829,23.3125
477,8.60593,8.47727
478,67.7,62.16667
479,6.59416,6.43103
480,8.05952,7.93617
481,9.67143,9.5641
482,12.69375,12.43333
483,145.07143,124.33333
484,19.34286,18.65
485,32.75806,31.08333
486,49.53659,46
